"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"203700";"REWE Bio Reiswaffeln Zartbitter 100g";"85";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"400400";"Tee Meßmer Wintertraum Zimtstern-Orange";"84";;;;"04 Allrounder";;;;;;;;;;;;;;;
"600500";"Erasco Heisse Tasse Tomatencreme 150ml";"83";;;;"06 Essen";;;;;;;;;;;;;;;
"300500";"Impresan Handdesinfektionsgel, Reisegröße, 50 ml";"82";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300900";"Balea Handcreme Sensitive, 100 ml";"81";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300800";"Balea Deo Roll-on Sensitive, 50 ml";"80";;;;"03 Hygiene";;;;;;;;;;;;;;;
"202900";"Ricola Original Kräuter 50g";"79";;;;"02 Snacks";;;;;;;;;;;;;;;
"300600";"Tempo Taschentücher";"78";;;;"03 Hygiene";;;;;;;;;;;;;;;
"202800";"Ricola Holunderblüten 50g";"77";;;;"02 Snacks";;;;;;;;;;;;;;;
"202600";"Leibniz Butterkeks Choco Vollmilch 125g";"76";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201300";"hanuta Haselnuss-Schnitten";"75";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"201000";"Studentenfutter 50g";"74";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
"600400";"Maggi 5 Minuten Terine Spaghetti in Tomaten Sauce 55g";"73";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600300";"Maggi 5 Minuten Terrine Nudeln in Tomaten-Mozzarella Sauce 55g";"72";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"203000";"Oreo Cookies Original 154g";"71";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"600200";"Bio Joghurt verschiedene Sorten 150g";"70";;;;"06 Essen";"6.4 Milchprodukte";;;;;;;;;;;;;;
"301000";"Balea MED Handcreme hautneutral mit Allantoin, 100 ml";"69";;;;"03 Hygiene";;;;;;;;;;;;;;;
"400300";"Tee Meßmer Himmelszauber Winterpunsch-Mandel";"68";;;;"04 Allrounder";;;;;;;;;;;;;;;
"300100";"JessaTampons 1 PG";"67";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300700";"Balea MEN Antitranspirant Deo Roll-on fresh, 50 ml";"66";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300400";"Denk mit - Desinfektionsmittel klein 100 ml";"62";;;;"03 Hygiene";;;;;;;;;;;;;;;
"300300";"Labello Lippenpflege Original, 4,8 g";"61";;;;"03 Hygiene";;;;;;;;;;;;;;;
"601222";"Bio Joghurt mild 150g";"60";;;;"06 Essen";"6.4 Milchprodukte";;;;;;;;;;;;;;
"600600";"MyMüsli - alle Sorten";"59";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600700";"Maggi 5 Minuten Terine Kartoffelpüre mit Erbsen und Möhren";"58";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"600800";"Maggi 5 Minuten Terine Nudeln mit Waldpilz";"57";;;;"06 Essen";"6.3 Fertigessen";;;;;;;;;;;;;;
"202210";"Tuc Cracker Original 100g";"54";;;;"02 Snacks";"2.2 Snacks Salzig";;;;;;;;;;;;;;
